pedido_id,nombre_plato,descripcion_plato,precio_unitario,cantidad,subtotal
PED001,Sopa Criolla,Sopa con carne fideos y leche,10.50,1,10.50
PED001,Sopa Criolla,Sopa con carne fideos y leche,10.50,1,10.50
PED001,Lomo Saltado,Trozos de carne salteados con cebolla y tomate,15.00,1,15.00
PED001,Lomo Saltado,Trozos de carne salteados con cebolla y tomate,15.00,1,15.00
PED001,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED001,Lomo Saltado,Trozos de carne salteados con cebolla y tomate,14.00,2,28.00
PED001,Papa a la Huancaína,Papas con salsa de queso y ají amarillo,9.50,1,9.50
PED002,Ceviche de Pescado,Pescado marinado en limón con cebolla y ají,13.00,2,26.00
PED002,Mazamorra Morada,Postre de maíz morado con frutas,7.50,1,7.50
PED003,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,15.00,2,30.00
PED003,Tallarines Verdes,Pasta con salsa de espinaca y albahaca,11.00,1,11.00
PED003,Ají de Gallina,Pollo deshilachado en salsa de ají amarillo,13.50,1,13.50
PED004,Anticuchos,Brochetas de corazón de res con papas,10.00,2,20.00
PED004,Ocopa Arequipeña,Papas con salsa de huacatay y maní,9.50,1,9.50
PED004,Tallarines Rojos,Pasta con salsa de tomate y carne,11.50,1,11.50
PED005,Spaghetti a la Carbonara,Spaghetti con salsa de huevo,12.50,2,25.00
PED005,Ensalada Rusa,Ensalada de papas, zanahorias y arvejas,9.00,1,9.00
PED006,Seco de Cordero,Guiso de cordero con arroz y frijoles,14.00,2,28.00
PED006,Causa Rellena,Puré de papa relleno de pollo o atún,10.50,1,10.50
PED007,Tacu Tacu,Frijoles y arroz fritos con carne o huevo,11.50,2,23.00
PED007,Ají de Gallina,Pollo deshilachado en salsa de ají amarillo,13.50,1,13.50
PED007,Mazamorra Morada,Postre de maíz morado con frutas,7.50,1,7.50
PED008,Arroz Chaufa,Arroz frito con pollo y verduras,12.00,2,24.00
PED008,Pollo al Oregano,Pollo al horno con papas y ensalada,13.00,1,13.00
PED009,Ceviche de Pescado,Pescado marinado en limón con cebolla y ají,13.00,2,26.00
PED009,Tallarines Verdes,Pasta con salsa de espinaca y albahaca,11.00,1,11.00
PED010,Escabeche de Pescado,Pescado en salsa de vinagre y ají,12.00,2,24.00
PED010,Papa a la Huancaína,Papas con salsa de queso y ají amarillo,9.50,1,9.50
PED011,Spaghetti a la Carbonara,Spaghetti con salsa de huevo,12.50,2,25.00
PED011,Anticuchos,Brochetas de corazón de res con papas,10.00,1,10.00
PED012,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,15.00,2,30.00
PED012,Causa Rellena,Puré de papa relleno de pollo o atún,10.50,1,10.50
PED013,Tallarines Rojos,Pasta con salsa de tomate y carne,11.50,2,23.00
PED013,Mazamorra Morada,Postre de maíz morado con frutas,7.50,1,7.50
PED014,Lomo Saltado,Trozos de carne salteados con cebolla y tomate,14.00,2,28.00
PED014,Ocopa Arequipeña,Papas con salsa de huacatay y maní,9.50,1,9.50
PED015,Ají de Gallina,Pollo deshilachado en salsa de ají amarillo,13.50,2,27.00
PED015,Tallarines Verdes,Pasta con salsa de espinaca y albahaca,11.00,1,11.00
PED016,Pollo al Oregano,Pollo al horno con papas y ensalada,13.00,2,26.00
PED016,Ensalada Rusa,Ensalada de papas, zanahorias y arvejas,9.00,1,9.00
PED017,Ceviche de Pescado,Pescado marinado en limón con cebolla y ají,13.00,2,26.00
PED017,Tacu Tacu,Frijoles y arroz fritos con carne o huevo,11.50,1,11.50
PED018,Arroz con Pollo,Arroz verde con pollo y verduras,12.00,2,24.00
PED018,Mazamorra Morada,Postre de maíz morado con frutas,7.50,1,7.50
PED019,Ají de Gallina,Pollo deshilachado en salsa de ají amarillo,13.50,2,27.00
PED019,Causa Rellena,Puré de papa relleno de pollo o atún,10.50,1,10.50
PED020,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,15.00,2,30.00
PED020,Tallarines Verdes,Pasta con salsa de espinaca y albahaca,11.00,1,11.00
PED050,Ají de Gallina,Pollo deshilachado en salsa de ají amarillo,13.50,2,27.00
PED050,Tallarines Verdes,Pasta con salsa de espinaca y albahaca,11.00,1,11.00
PED051,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED052,Ensalada Rusa,Papas zanahorias y arvejas con mayonesa,8.00,1,8.00
PED053,Tallarines Verdes,Tallarines con salsa de albahaca y queso,11.50,1,11.50
PED053,Arroz Chaufa,Arroz frito con pollo huevo y cebolla china,12.00,1,12.00
PED053,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,16.00,1,16.00
PED053,Anticuchos,Cortes de corazón de res a la parrilla,10.00,1,10.00
PED053,Papa a la Huancaína,Papas sancochadas con salsa de ají amarillo,9.50,1,9.50
PED053,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED053,Ensalada Rusa,Papas zanahorias y arvejas con mayonesa,8.00,1,8.00
PED054,Caldo de Gallina,Sopa concentrada con gallina y huevo duro,12.00,1,12.00
PED055,Caldo de Gallina,Sopa concentrada con gallina y huevo duro,12.00,1,12.00
PED056,Caldo de Gallina,Sopa concentrada con gallina y huevo duro,12.00,1,12.00
PED057,Pollo al Oregano,Pollo al horno con papas y orégano,13.00,1,13.00
PED058,Seco de Res,Carne guisada con culantro y arroz,13.00,1,13.00
PED058,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED058,Tacu Tacu,Frejoles y arroz fritos con huevo y plátano,11.00,1,11.00
PED058,Pollo al Oregano,Pollo al horno con papas y orégano,13.00,1,13.00
PED059,Seco de Res,Carne guisada con culantro y arroz,13.00,1,13.00
PED059,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED059,Tacu Tacu,Frejoles y arroz fritos con huevo y plátano,11.00,1,11.00
PED059,Pollo al Oregano,Pollo al horno con papas y orégano,13.00,1,13.00
PED060,Tacu Tacu,Frejoles y arroz fritos con huevo y plátano,11.00,1,11.00
PED061,Chupe de Camarones,Sopa cremosa con camarones y leche,16.50,1,16.50
PED062,Caldo de Gallina,Sopa concentrada con gallina y huevo duro,12.00,1,12.00
PED063,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED063,Chicharrón de Cerdo,Cerdo crocante con mote y salsa criolla,14.50,1,14.50
PED063,Seco de Res,Carne guisada con culantro y arroz,13.00,1,13.00
PED064,Papa a la Huancaína,Papas sancochadas con salsa de ají amarillo,9.50,1,9.50
PED064,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED064,Chicharrón de Cerdo,Cerdo crocante con mote y salsa criolla,14.50,1,14.50
PED065,Seco de Res,Carne guisada con culantro y arroz,13.00,1,13.00
PED065,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED066,Anticuchos,Cortes de corazón de res a la parrilla,10.00,1,10.00
PED066,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED066,Chicharrón de Cerdo,Cerdo crocante con mote y salsa criolla,14.50,1,14.50
PED066,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
PED066,Tacu Tacu,Frejoles y arroz fritos con huevo y plátano,11.00,1,11.00
PED066,Sopa Criolla,Sopa con carne fideos y leche,10.50,1,10.50
PED066,Caldo de Gallina,Sopa concentrada con gallina y huevo duro,12.00,1,12.00
PED067,Tallarines Verdes,Tallarines con salsa de albahaca y queso,11.50,1,11.50
PED067,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,16.00,1,16.00
PED067,Anticuchos,Cortes de corazón de res a la parrilla,10.00,1,10.00
PED068,Arroz Chaufa,Arroz frito con pollo huevo y cebolla china,12.00,1,12.00
PED068,Pollo a la Brasa,Pollo asado con papas fritas y ensalada,16.00,1,16.00
PED068,Anticuchos,Cortes de corazón de res a la parrilla,10.00,1,10.00
PED068,Papa a la Huancaína,Papas sancochadas con salsa de ají amarillo,9.50,1,9.50
PED068,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED068,Chicharrón de Cerdo,Cerdo crocante con mote y salsa criolla,14.50,1,14.50
PED069,Arroz Chaufa,Arroz frito con pollo huevo y cebolla china,12.00,1,12.00
PED069,Papa a la Huancaína,Papas sancochadas con salsa de ají amarillo,9.50,1,9.50
PED069,Ocopa Arequipeña,Papas con salsa de huacatay y queso,9.50,1,9.50
PED069,Escabeche de Pescado,Pescado en salsa de vinagre con cebolla y ají,12.50,1,12.50
